tempo_us,angulo_deg,motor_percent
282702,-100.01,20
283591,-100.01,20
284480,-100.02,20
285369,-100.02,20
286258,-100.02,20
287147,-99.98,20
288036,-100.00,20
288925,-99.98,20
289814,-99.95,20
290703,-100.01,20
291592,-100.00,20
292481,-99.98,20
293370,-100.00,20
294259,-99.97,20
295148,-99.95,20
296037,-100.01,20
296926,-99.99,20
297815,-99.95,20
298704,-100.01,20
299593,-99.98,20
300482,-99.96,20
301371,-100.01,20
302260,-99.97,20
303149,-99.97,20
304038,-99.99,20
304927,-99.96,20
305816,-99.95,20
306705,-99.98,20
307594,-99.96,20
308483,-99.94,20
309372,-99.96,20
310261,-99.95,20
311150,-99.93,20
312039,-99.94,20
312928,-99.94,20
313817,-99.93,20
314706,-99.95,20
315595,-99.96,20
316484,-99.94,20
317373,-99.95,20
318262,-99.95,20
319151,-99.94,20
320040,-99.94,20
320929,-99.94,20
321818,-99.91,20
322707,-99.91,20
323596,-99.91,20
324485,-99.90,20
325374,-99.90,20
326263,-99.89,20
327152,-99.86,20
328041,-99.85,20
328930,-99.86,20
329819,-99.84,20
330708,-99.83,20
331597,-99.81,20
332486,-99.79,20
333375,-99.79,20
334264,-99.79,20
335153,-99.75,20
336042,-99.74,20
336931,-99.74,20
337820,-99.73,20
338709,-99.71,20
339598,-99.69,20
340487,-99.68,20
341376,-99.66,20
342265,-99.64,20
343154,-99.61,20
344043,-99.59,20
344932,-99.57,20
345821,-99.54,20
346710,-99.52,20
347599,-99.49,20
348488,-99.44,20
349377,-99.42,20
350266,-99.43,20
351155,-99.41,20
352044,-99.38,20
352933,-99.35,20
353822,-99.30,20
354711,-99.27,20
355600,-99.25,20
356489,-99.23,20
357378,-99.17,20
358267,-99.14,20
359156,-99.10,20
360045,-99.07,20
360934,-99.04,20
361823,-98.98,20
362712,-98.95,20
363601,-98.92,20
364490,-98.88,20
365379,-98.83,20
366268,-98.78,20
367157,-98.77,20
368046,-98.73,20
368935,-98.67,20
369824,-98.61,20
370713,-98.58,20
371602,-98.56,20
372491,-98.51,20
373380,-98.48,20
374269,-98.45,20
375158,-98.41,20
376047,-98.36,20
376936,-98.31,20
377825,-98.29,20
378714,-98.25,20
379603,-98.20,20
380492,-98.15,20
381381,-98.10,20
382270,-98.04,20
383159,-97.97,20
384048,-97.95,20
384937,-97.89,20
385826,-97.82,20
386715,-97.76,20
387604,-97.72,20
388493,-97.70,20
389382,-97.63,20
390271,-97.57,20
391160,-97.52,20
392049,-97.47,20
392938,-97.41,20
393827,-97.35,20
394716,-97.30,20
395605,-97.23,20
396494,-97.17,20
397383,-97.11,20
398272,-97.05,20
399161,-96.98,20
400050,-96.90,20
400939,-96.85,20
401828,-96.78,20
402717,-96.71,20
403606,-96.63,20
404495,-96.56,20
405384,-96.53,20
406273,-96.45,20
407162,-96.37,20
408051,-96.32,20
408940,-96.28,20
409829,-96.23,20
410718,-96.14,20
411607,-96.06,20
412496,-96.00,20
413385,-95.95,20
414274,-95.90,20
415163,-95.82,20
416052,-95.74,20
416941,-95.67,20
417830,-95.62,20
418719,-95.54,20
419608,-95.46,20
420497,-95.38,20
421386,-95.31,20
422275,-95.26,20
423164,-95.17,20
424053,-95.08,20
424942,-95.02,20
425831,-94.97,20
426720,-94.91,20
427609,-94.82,20
428498,-94.73,20
429387,-94.67,20
430276,-94.60,20
431165,-94.52,20
432054,-94.43,20
432943,-94.35,20
433832,-94.24,20
434721,-94.17,20
435610,-94.09,20
436499,-94.00,20
437388,-93.89,20
438277,-93.80,20
439166,-93.75,20
440055,-93.65,20
440944,-93.56,20
441833,-93.47,20
442722,-93.40,20
443611,-93.33,20
444500,-93.22,20
445389,-93.14,20
446278,-93.04,20
447167,-92.94,20
448056,-92.86,20
448945,-92.76,20
449834,-92.65,20
450723,-92.53,20
451612,-92.46,20
452501,-92.37,20
453390,-92.25,20
454279,-92.17,20
455168,-92.09,20
456057,-92.02,20
456946,-91.91,20
457835,-91.80,20
458724,-91.72,20
459613,-91.63,20
460502,-91.55,20
461391,-91.45,20
462280,-91.35,20
463169,-91.24,20
464058,-91.15,20
464947,-91.06,20
465836,-90.95,20
466725,-90.85,20
467614,-90.75,20
468503,-90.68,20
469392,-90.57,20
470281,-90.46,20
471170,-90.37,20
472059,-90.28,20
472948,-90.19,20
473837,-90.08,20
474726,-89.98,20
475615,-89.86,20
476504,-89.76,20
477393,-89.66,20
478282,-89.55,20
479171,-89.43,20
480060,-89.32,20
480949,-89.24,20
481838,-89.12,20
482727,-89.00,20
483616,-88.92,20
484505,-88.84,20
485394,-88.74,20
486283,-88.62,20
487172,-88.50,20
488061,-88.41,20
488950,-88.31,20
489839,-88.23,20
490728,-88.11,20
491617,-88.00,20
492506,-87.88,20
493395,-87.79,20
494284,-87.69,20
495173,-87.57,20
496062,-87.47,20
496951,-87.37,20
497840,-87.28,20
498729,-87.15,20
499618,-87.02,20
500507,-86.91,20
501396,-86.83,20
502285,-86.74,20
503174,-86.64,20
504063,-86.51,20
504952,-86.40,20
505841,-86.28,20
506730,-86.19,20
507619,-86.09,20
508508,-85.97,20
509397,-85.85,20
510286,-85.74,20
511175,-85.65,20
512064,-85.55,20
512953,-85.43,20
513842,-85.30,20
514731,-85.20,20
515620,-85.12,20
516509,-85.01,20
517398,-84.88,20
518287,-84.77,20
519176,-84.68,20
520065,-84.56,20
520954,-84.44,20
521843,-84.34,20
522732,-84.25,20
523621,-84.15,20
524510,-84.04,20
525399,-83.92,20
526288,-83.81,20
527177,-83.70,20
528066,-83.61,20
528955,-83.50,20
529844,-83.37,20
530733,-83.25,20
531622,-83.15,20
532511,-83.05,20
533400,-82.93,20
534289,-82.82,20
535178,-82.72,20
536067,-82.62,20
536956,-82.50,20
