0.0,18.11
0.01,17.76
0.02,17.08
0.03,16.74
0.04,16.42
0.05,16.11
0.06,15.8
0.07,15.5
0.08,15.21
0.09,14.92
0.1,14.64
0.11,14.08
0.12,13.81
0.13,13.55
0.14,13.29
0.15,13.04
0.16,12.79
0.17,12.56
0.18,12.32
0.19,12.09
0.2,11.87
0.21,11.64
0.22,11.42
0.23,11.2
0.24,10.99
0.25,10.79
0.26,10.58
0.27,10.39
0.28,10.19
0.29,10.0
0.3,9.64
0.31,9.46
0.32,9.29
0.33,9.11
0.34,8.94
0.35,8.77
0.36,8.62
0.37,8.45
0.38,8.3
0.39,8.15
0.4,8.01
0.41,7.86
0.42,7.72
0.43,7.58
0.44,7.43
0.45,7.29
0.46,7.16
0.47,7.02
0.48,6.9
0.49,6.64
0.5,6.52
0.51,6.39
0.52,6.25
0.53,6.12
0.54,6.01
0.55,5.89
0.56,5.8
0.5700000000000001,5.72
0.58,5.62
0.59,5.51
0.6,5.39
0.61,5.27
0.62,5.07
0.63,4.99
0.64,4.9
0.65,4.81
0.66,4.73
0.67,4.67
0.68,4.6
0.6900000000000001,4.52
0.7000000000000001,4.44
0.71,4.34
0.72,4.27
0.73,4.19
0.74,4.11
0.75,4.03
0.76,3.95
0.77,3.9
0.78,3.83
0.79,3.76
0.8,3.68
0.81,3.62
0.8200000000000001,3.56
0.8300000000000001,3.53
0.84,3.41
0.85,3.35
0.86,3.32
0.87,3.26
0.88,3.19
0.89,3.14
0.9,3.12
0.91,3.07
0.92,3.0
0.93,2.95
0.94,2.93
0.95,2.89
0.96,2.82
0.97,2.79
0.98,2.68
0.99,2.65
1.0,2.62
1.01,2.56
1.02,2.52
1.03,2.51
1.04,2.49
1.05,2.45
1.06,2.41
1.07,2.39
1.08,2.33
1.09,2.31
1.1,2.28
1.11,2.26
1.12,2.21
1.13,2.21
1.14,2.16
1.15,2.11
1.16,2.09
1.17,2.08
1.18,2.05
1.19,2.03
1.2,2.0
1.21,2.0
1.22,1.99
1.23,1.94
1.24,1.92
1.25,1.92
1.26,1.87
1.27,1.86
1.28,1.85
1.29,1.81
1.3,1.78
1.31,1.78
1.32,1.74
1.33,1.75
1.34,1.73
1.35,1.68
1.36,1.66
1.37,1.66
1.38,1.64
1.39,1.61
1.4,1.6
1.41,1.61
1.42,1.58
1.43,1.59
1.44,1.56
1.45,1.53
1.46,1.53
1.47,1.53
1.48,1.51
1.49,1.5
1.5,1.52
1.51,1.5
1.52,1.45
1.53,1.43
1.54,1.41
1.55,1.41
1.56,1.41
1.57,1.42
1.58,1.39
1.59,1.38
1.6,1.38
1.61,1.37
1.62,1.33
1.63,1.33
1.64,1.34
1.65,1.32
1.66,1.32
1.67,1.31
1.68,1.28
1.69,1.27
1.7,1.29
1.71,1.27
1.72,1.24
1.73,1.22
1.74,1.23
1.75,1.2
1.76,1.17
1.77,1.19
1.78,1.2
1.79,1.17
1.8,1.15
1.81,1.16
1.82,1.13
1.83,1.12
1.84,1.14
1.85,1.15
1.86,1.12
1.87,1.1
1.88,1.08
1.89,1.05
1.9,1.06
1.91,1.08
1.92,1.07
1.93,1.05
1.94,1.06
1.95,1.07
1.96,1.04
1.97,1.03
1.98,1.05
1.99,1.04
2.0,1.04
2.01,1.04
2.02,1.02
2.03,1.01
2.04,1.02
2.05,1.04
2.06,1.02
2.07,0.99
2.08,0.99
2.09,1.0
2.1,0.99
2.11,0.99
2.12,0.96
2.13,0.94
2.14,0.94
2.15,0.94
2.16,0.92
2.17,0.91
2.18,0.92
2.19,0.92
2.2,0.87
2.21,0.87
2.22,0.89
2.23,0.86
2.24,0.88
2.25,0.9
2.26,0.88
2.27,0.86
2.28,0.86
2.29,0.89
2.3000000000000003,0.89
2.31,0.87
2.32,0.88
2.33,0.89
2.34,0.88
2.35,0.91
2.36,0.91
2.37,0.89
2.38,0.89
2.39,0.89
2.4,0.87
2.41,0.88
2.42,0.9
2.43,0.9
2.44,0.89
2.45,0.89
2.46,0.9
2.47,0.88
2.48,0.86
2.49,0.87
2.5,0.84
2.51,0.81
2.52,0.82
2.53,0.84
2.54,0.83
2.5500000000000003,0.83
2.56,0.85
2.57,0.82
2.58,0.79
2.59,0.79
2.6,0.82
2.61,0.82
2.62,0.8
2.63,0.82
2.64,0.83
2.65,0.79
2.66,0.79
2.67,0.81
2.68,0.8
2.69,0.77
2.7,0.78
2.71,0.8
2.72,0.8
2.73,0.79
2.74,0.8
2.75,0.8
2.76,0.78
2.77,0.76
2.78,0.76
2.79,0.75
2.8000000000000003,0.75
2.81,0.77
2.82,0.76
2.83,0.73
2.84,0.75
2.85,0.78
2.86,0.76
2.87,0.71
2.88,0.7
2.89,0.73
2.9,0.72
2.91,0.7
2.92,0.7
2.93,0.7
2.94,0.69
2.95,0.68
2.96,0.68
2.97,0.68
2.98,0.67
2.99,0.68
3.0,0.68
3.01,0.7
3.02,0.7
3.03,0.69
3.04,0.67
3.0500000000000003,0.66
3.06,0.66
3.0700000000000003,0.66
3.08,0.67
3.09,0.67
3.1,0.68
3.11,0.66
3.12,0.65
3.13,0.67
3.14,0.69
3.15,0.69
3.16,0.68
3.17,0.66
3.18,0.66
3.19,0.69
3.2,0.7
3.21,0.68
3.22,0.67
3.23,0.7
3.24,0.73
3.25,0.72
3.26,0.72
3.27,0.74
3.28,0.75
3.29,0.76
3.3000000000000003,0.78
3.31,0.79
3.3200000000000003,0.82
3.33,0.83
3.34,0.86
3.35,0.85
3.36,0.85
3.37,0.83
3.38,0.8
3.39,0.78
3.4,0.78
3.41,0.8
3.42,0.81
3.43,0.78
3.44,0.78
3.45,0.78
3.46,0.79
3.47,0.8
3.48,0.8
3.49,0.79
3.5,0.8
3.51,0.79
3.52,0.78
3.53,0.77
3.54,0.76
3.5500000000000003,0.77
3.56,0.75
3.5700000000000003,0.73
3.58,0.75
3.59,0.77
3.6,0.74
3.61,0.71
3.62,0.73
3.63,0.78
3.64,0.77
3.65,0.72
3.66,0.71
3.67,0.74
3.68,0.76
3.69,0.73
3.7,0.75
3.71,0.74
3.72,0.73
3.73,0.75
3.74,0.77
3.75,0.76
3.76,0.73
3.77,0.74
